FULL NAME,TEAM,POS,AGE,GP,MPG,USG%,FTA,FT%,2PA,2P%,3PA,3P%,PPG,RPG,APG,SPG,BPG,TOPG
Joe Ingles,Uta,F,32,5,30.1,12.7,0,0,8,0.5,29,0.276,6.4,4.8,5,2.2,0,1.6
Donovan Mitchell,Uta,G,23,5,38.6,32.5,33,0.727,69,0.362,43,0.256,21.4,5,3.2,1.6,0.2,4.2
Georges Niang,Uta,F,26,5,11,18.6,0,0,9,0.556,13,0.308,4.4,2.8,1,0.2,0.2,0.4
Royce O'Neale,Uta,F,26,5,27.4,17.6,4,0.75,22,0.591,23,0.348,10.6,4.6,1.6,0.4,0.4,2
Ricky Rubio,Uta,G,29,5,33.5,22.8,20,0.85,46,0.522,20,0.2,15.4,3.2,8.6,2.4,0.2,3
Jerome Robinson,Lac,G,22,5,9.2,15.3,5,1,8,0.25,6,0.5,3.6,1.2,1.4,0.4,0,0.2
Dante Cunningham,San,F,32,5,2.6,10.8,0,0,1,0,2,1,1.2,1.2,0,0,0,0
Donatas Motiejunas,San,F-C,29,5,3.7,27.2,2,0.5,9,0.667,1,0,2.6,1.4,0.4,0,0,0
Quincy Pondexter,San,F,31,5,2.4,7.7,0,0,1,0,1,0,0,0.2,0.4,0.2,0,0
Juancho Hernangomez,Den,F,24,5,2.9,12.3,0,0,1,0,2,0.5,0.6,0.6,0,0,0,0.2
Anfernee Simons,Por,G,20,5,2.4,33.3,5,0.8,5,0,2,0,0.8,0,0,0.2,0,0
Jacob Evans,Gol,G,22,7,2.5,17.3,0,0,3,0.333,2,0.5,0.7,0.1,0.1,0,0,0.29
Wilson Chandler,Lac,F,32,4,13.1,16.3,4,1,6,0.667,10,0.1,3.8,1.5,0.5,0.5,0,0.75
Bojan Bogdanovic,Ind,F,30,4,36.9,23.8,17,0.882,41,0.439,22,0.318,18,5.8,2.8,2,0,1.5
Darren Collison,Ind,G,32,4,29.2,22.7,6,1,34,0.441,11,0.364,12,3,4,0.5,0,2.5
Tyreke Evans,Ind,G,30,4,21,32.9,14,0.571,28,0.357,20,0.55,15.3,4.3,0.8,0.5,0.25,1.5
Cory Joseph,Ind,G,28,4,21.3,13.4,2,1,15,0.533,9,0.444,7.5,1.8,1,1,0,0
Wesley Matthews,Ind,G-F,33,4,29.7,15.2,3,1,9,0.222,21,0.333,7,2.5,2,0.75,0.25,2
Domantas Sabonis,Ind,F,23,4,24,19.2,14,0.643,25,0.44,4,0.25,8.5,7.3,4,0.75,0.25,1.25
Myles Turner,Ind,F-C,23,4,31.5,15.9,13,0.615,21,0.524,14,0.214,9.8,6.3,1.5,0,1.75,0.75
Thaddeus Young,Ind,F,31,4,32.6,17.6,7,0.571,34,0.471,8,0.25,10.5,7,3.8,2.75,0.75,1.25
Bruce Brown,Det,G,23,4,14.2,12.5,2,1,9,0.444,5,0.2,3.3,2,0.5,0.5,0.25,0.5
Andre Drummond,Det,C,26,4,31.9,24.4,21,0.429,53,0.453,1,0,14.3,13,2.3,1.5,1.25,2.75
Wayne Ellington,Det,G,32,4,32.8,12.1,2,1,13,0.308,22,0.318,7.8,3.8,1.3,0.75,0,0.5
Langston Galloway,Det,G,28,4,27.5,13.7,0,0,9,0.222,25,0.36,7.8,3.8,1,0.5,1,0.5
Reggie Jackson,Det,G,29,4,27,28.4,7,0.857,44,0.432,21,0.429,17.8,3.3,7,0.75,0,1.25
Luke Kennard,Det,G,23,4,33.2,16.6,6,0.833,32,0.438,15,0.6,15,4,1.8,0.75,0.25,0.75
Kyle Korver,Uta,G-F,38,4,7.5,14.7,3,0.667,2,0.5,6,0.333,2.5,1.3,0,0,0,0.25
Thon Maker,Det,F,22,4,17.2,20.1,9,0.889,14,0.5,12,0,5.5,2.3,1,0,1,0.75
Ish Smith,Det,G,31,4,20.2,22.7,4,0.75,31,0.29,7,0.143,6,2.8,3.5,0.75,0.25,1
Rodions Kurucs,Bro,F,21,4,17.1,15.4,9,0.778,12,0.5,8,0.25,6.3,5,0.8,0.5,0,0.5
Sindarius Thornwell,Lac,G,25,4,3,20.9,0,0,3,0.333,3,0.333,1.3,1,0,0.25,0,0
Ivica Zubac,Lac,C,22,4,9.7,24.8,3,0.667,18,0.5,0,0,5,5.5,0.3,0.5,0.5,1
Jared Dudley,Bro,F,34,4,20.6,8.3,4,1,2,0.5,9,0.222,3,0.5,2.8,0.75,0.25,1
Rondae Hollis-Jefferson,Bro,F,24,4,15.6,30.5,25,0.8,32,0.469,1,1,13.3,3,1.5,0.25,1.25,0.75
Thabo Sefolosha,Uta,F,35,4,10.5,15.2,0,0,6,0.167,8,0.125,1.3,2,0.5,0,0,0.25
Furkan Korkmaz,Phi,G-F,22,4,8.9,25.2,5,0.8,10,0.3,8,0.375,4.8,1.5,1.3,0,0.25,0.25
Brad Wanamaker,Bos,G,30,4,4.3,27.4,4,0.75,6,0.333,1,1,2.5,0.3,0.8,0.25,0,0.5
Guerschon Yabusele,Bos,F,23,4,3.5,25.3,7,0.571,3,0.667,1,0,2,0.5,0.3,0,0.25,0.25
Amir Johnson,Phi,C-F,32,4,4.9,10.8,0,0,4,1,0,0,2,1.3,0.5,0.25,0,0.25
Ed Davis,Bro,C,30,3,13.6,10.8,2,1,10,0.7,0,0,5.3,6.3,0.7,0,0.33,0
Doug McDermott,Ind,F,27,3,9.7,18.5,4,0.5,3,0.667,7,0,2,1.7,1.3,0,0.33,0
Aaron Holiday,Ind,G,23,3,4.5,20.4,0,0,3,0.333,2,0.5,1.7,0,0,0,0,0.33
Raul Neto,Uta,G,27,3,6.5,13,0,0,5,0.2,1,0,0.7,1,0.3,0,0,0
Deonte Burton,Okc,G,25,3,1.5,47.5,0,0,3,0.333,2,0,0.7,0.7,0,0,0,0
Abdel Nader,Okc,F,26,3,1.6,17.8,0,0,2,0.5,0,0,0.7,0,0,0,0.33,0
Jose Calderon,Det,G,38,3,3.2,0,0,0,0,0,0,0,0,0,1.7,0.33,0,0
Glenn Robinson III,Det,G-F,25,3,11.9,20.9,4,1,7,0.429,8,0.125,4.3,2.3,0.7,0.67,0,0.33
Khyri Thomas,Det,G,23,3,5,34.5,1,1,8,0.625,4,0.25,4.7,0.7,0,0.67,0,0
Shabazz Napier,Bro,G,28,3,9.4,20.8,8,0.875,6,0.667,5,0.6,8,2.3,3.7,0.33,0,0
Theo Pinson,Bro,G-F,24,3,7.3,16.7,0,0,1,0,7,0.429,3,1,1,0.67,0,0.33
Melvin Frazier Jr.,Orl,G-F,23,3,4.9,17.8,2,0.5,5,0.4,0,0,1.7,1.3,0,0.33,0,0
Jerian Grant,Orl,G,27,3,4.7,36.2,1,1,3,0.667,7,0,1.7,1.3,1,0,0,0.33
Jarell Martin,Orl,F,25,3,6.1,24,2,0,2,1,7,0.286,3.3,0.7,0.3,0,0.33,0
Jarred Vanderbilt,Den,F,20,3,1.6,0,0,0,0,0,0,0,0,0.3,0,0,0.33,0
Robert Williams III,Bos,C-F,22,3,4.2,9.9,2,1,2,0.5,0,0,1.3,2.3,0,0,0,0
Trey Lyles,Den,F,24,3,2.7,11,0,0,1,0,1,0,0,0.3,0.7,0,0,0
Skal Labissiere,Por,F,23,3,3.5,18.3,1,0,2,0.5,2,0,0.7,0,0,0,0,0
Damian Jones,Gol,C,24,4,2,15.4,2,0.5,1,1,0,0,0.8,0.5,0,0,0,0.25
DeMarcus Cousins,Gol,C,29,8,16.7,27,25,0.64,41,0.439,12,0.25,7.6,4.9,2.4,0.63,0.75,2.38
Grayson Allen,Uta,G,24,2,7.1,30.4,7,0.714,4,0.5,3,0,4.5,0.5,0,0,0,0
Ekpe Udoh,Uta,C-F,32,2,3.1,7,0,0,1,0,0,0,0,0,0,0,0,0
Tyrone Wallace,Lac,G,25,2,5.5,23.6,3,0.667,4,0.25,0,0,2,0.5,1.5,0,0,0.5
Zaza Pachulia,Det,C,35,2,10.9,15.2,2,0.5,6,0.333,0,0,2.5,4.5,0,0,0,0.5
Gary Clark,Hou,F,25,2,1.9,0,0,0,0,0,0,0,0,0.5,0,0,0,0
Isaiah Hartenstein,Hou,F-C,21,2,1.2,38.2,0,0,2,1,0,0,2,0.5,0,0,0,0
Blake Griffin,Det,F,30,2,29.1,34.7,7,1,26,0.462,13,0.462,24.5,6,6,1,0,3
Dzanan Musa,Bro,G-F,20,2,7.3,16.7,0,0,2,1,1,0,2,0,0,1,0,1.5
Zhaire Smith,Phi,G,20,2,2.8,0,0,0,0,0,0,0,0,0,0,0.5,0,0
Marcus Smart,Bos,G,25,2,16.3,22.4,6,0.667,0,0,11,0.091,3.5,2,2,1.5,0,1.5
Chris Boucher,Tor,F,26,2,2.1,60,1,0,2,0.5,3,0.333,2.5,0.5,0,0,0.5,0
TJ Leaf,Ind,F,22,1,9.8,18.2,2,1,2,0,1,0,2,3,0,0,0,0
Jon Leuer,Det,F,30,1,4.9,20.9,1,0,2,0.5,0,0,2,0,0,0,0,0
Kyle O'Quinn,Ind,C,29,1,1.6,28.7,0,0,0,0,0,0,0,0,0,0,0,1
Edmond Sumner,Ind,G,23,1,1.6,0,0,0,0,0,0,0,0,2,0,0,0,0
