FULL NAME,TEAM,POS,AGE,GP,MPG,USG%,FTA,FT%,2PA,2P%,3PA,3P%,PPG,RPG,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Danilo Gallinari,Lac,F,30.85,6,33.6,27.8,33,0.848,67,0.388,43,0.302,19.8,6.2,2.7,12.5,1.33,0.17,2,8.2,99.1,107.7
Shai Gilgeous-Alexander,Lac,G,20.92,6,28.8,17.6,20,0.85,42,0.452,18,0.5,13.7,2.7,3.2,16.5,1,0.83,0.83,6.8,124.6,106.9
JaMychal Green,Lac,F,28.98,6,23.5,17,10,0.8,20,0.55,23,0.522,11,5.3,0.8,5.3,0.67,0,1.83,6.1,114.1,98.1
Montrezl Harrell,Lac,F-C,25.38,6,26.3,21.5,26,0.692,62,0.742,1,0,18.3,5.5,2.2,15.3,0.5,0.67,1.33,9.2,138.4,103.7
Landry Shamet,Lac,G,22.26,6,29,11.7,10,1,7,0.429,31,0.323,7.7,2,1.7,7.6,1,0,1.17,4.1,104.2,108.4
Garrett Temple,Lac,G-F,33.1,6,10.5,11.4,10,0.7,4,0.5,7,0.143,2.3,1.2,0.3,4.1,0.5,0.17,0.33,3.6,94.5,102.5
Lou Williams,Lac,G,32.63,6,29.4,32.6,41,0.829,86,0.453,18,0.333,21.7,2.8,7.7,45.4,0.83,0.17,3,10.6,110.6,109.4
Lonnie Walker IV,San,G,20.5,6,3.5,17.6,0,0,7,0.429,1,0,1,0.3,0.5,21.1,0,0,0,6.1,,
Kenneth Faried,Hou,F-C,29.57,6,9.4,12.2,6,0.833,12,0.667,1,1,4,3.5,0.3,5.9,0.33,0,0,6.9,165.2,96.9
Semi Ojeleye,Bos,F,24.52,6,5.8,13.8,2,1,4,0.25,5,0.6,2.2,0.3,0.3,9.2,0,0,0.17,4,127.9,101.3
Jake Layman,Por,F,25.27,6,3.4,18.8,4,0.75,2,0.5,5,0,0.8,0.7,0,0,0,0,0,0,,
Jarrett Allen,Bro,C,21.15,5,22,18,20,0.85,32,0.594,0,0,11,6.8,2.2,15.9,0.6,0.6,1.6,10,130.7,100.1
DeMarre Carroll,Bro,F,32.88,5,23.9,15.1,8,1,14,0.143,24,0.292,6.6,4,0.4,2.3,0.8,0,0.6,3.7,90.2,106.6
Spencer Dinwiddie,Bro,G,26.19,5,26.3,23.5,14,0.714,38,0.474,24,0.375,14.6,2.6,1.6,10.2,0.4,0,1.6,6,103.4,108.1
Treveon Graham,Bro,F,25.63,5,15.7,8.1,6,0.5,3,0.667,7,0,1.4,2.2,0.6,4.9,0.4,0.2,0.6,3.1,69,101.3
Joe Harris,Bro,G-F,27.77,5,29.9,15.1,8,1,22,0.545,21,0.19,8.8,4.2,0.6,2.9,0.6,0,1.8,3.8,89.3,106.5
Caris LeVert,Bro,G,24.8,5,28.9,26.9,29,0.724,47,0.511,26,0.462,21,4.6,3,18.9,1,0.4,2,9.2,118.3,107.7
D'Angelo Russell,Bro,G,23.3,5,29.6,33.4,13,0.846,65,0.385,37,0.324,19.4,3.6,3.6,22.1,1.4,0.2,2.8,8.5,89.9,104.6
Davis Bertans,San,F,26.58,5,15.8,10.7,5,0.6,4,0.5,11,0.273,3.2,1.6,1,8.4,0,0.2,0.2,4.4,102.5,103.2
D.J. Augustin,Orl,G,31.59,5,28.2,17.3,16,0.875,20,0.5,21,0.476,12.8,1.6,3.8,25.5,0.4,0.2,1.4,6.1,128,110
Khem Birch,Orl,C,26.71,5,18.3,13.1,7,0.857,18,0.556,0,0,5.2,6.2,0.8,7.8,0.2,1,1.2,6.5,112.7,101.1
Michael Carter-Williams,Orl,G,27.68,5,18.5,20.4,8,0.875,23,0.435,8,0.25,6.6,4,2.4,24,0.6,0,1.6,8.6,93,96.2
Evan Fournier,Orl,G-F,26.62,5,35,21.4,8,0.75,35,0.457,34,0.235,12.4,3.2,2,10.7,1.4,0,2.4,4.9,81.6,104.3
Aaron Gordon,Orl,F,23.74,5,32.8,22.5,19,0.526,42,0.5,20,0.4,15.2,7.2,3.6,22.3,1.2,0.2,2.6,8.9,103.8,100.5
Jonathan Isaac,Orl,F,21.7,5,27.3,15.7,8,0.875,20,0.35,20,0.2,6.6,6.2,0.4,2.5,0.4,1,1,3.7,85,105.4
Wes Iwundu,Orl,F,24.48,5,12,17.7,9,1,9,0.333,9,0.333,4.8,1.4,0.8,11.7,0.6,0,0.4,5.8,112.6,104
Terrence Ross,Orl,G-F,28.35,5,29.2,21.7,17,0.824,19,0.421,35,0.343,13.2,3.6,1.4,9,1.2,0.4,2,5.6,97.8,104.4
Nikola Vucevic,Orl,C,28.64,5,29.5,23.2,14,0.786,45,0.4,13,0.231,11.2,8,3,19.3,0.4,1,2.6,8.8,88.6,102.4
Steven Adams,Okc,C,25.9,5,31.8,14.6,8,0.375,41,0.683,1,0,11.8,7.2,1.4,7.2,1,1,1.8,6.2,115.6,102.7
Raymond Felton,Okc,G,34.97,5,11.4,11.9,2,0.5,5,0.4,8,0.25,2.2,0.6,0.6,7.4,0.8,0.2,0.4,3.2,82.2,98.6
Terrance Ferguson,Okc,G,21.08,5,25.6,10,0,0,7,0.286,18,0.389,5,2.4,1.2,6.5,0.4,0,1,3.8,95.8,98.7
Paul George,Okc,F,29.12,5,40.8,29.9,49,0.816,54,0.537,47,0.319,28.6,8.6,3.6,15.4,1.4,0.2,4,9.4,110.1,99.6
Jerami Grant,Okc,F,25.26,5,35.2,12.1,13,0.692,20,0.55,20,0.45,11.6,5.6,0.8,3.4,0.6,2,0.8,4.2,125.2,105
Markieff Morris,Okc,F,29.78,5,11.8,16,9,0.778,9,0.333,7,0.286,3.8,2.6,1,12.1,0.2,0.6,0.4,7.3,110.2,96.1
Nerlens Noel,Okc,F-C,25.18,5,12.1,18.3,2,0,20,0.6,0,0,4.8,3.8,0,0,0.4,0.6,1,0,104.2,96
Dennis Schroder,Okc,G,25.75,5,30.1,19.5,18,0.722,35,0.543,20,0.3,13.8,3.2,3.4,18.1,0.8,0,1.2,7.1,114.7,105.5
Russell Westbrook,Okc,G,30.58,5,39.4,31.5,26,0.885,77,0.377,34,0.324,22.8,8.8,10.6,46,1,0.6,4.6,13.1,100.4,100.7
Jae Crowder,Uta,F,28.94,5,26,18.1,19,0.737,16,0.5,30,0.3,11.4,5.8,0.8,5.2,1,0,0.2,5.8,114.1,102.1
Derrick Favors,Uta,F-C,27.92,5,20.6,20.4,19,0.684,33,0.697,3,0,11.8,7.4,0.8,7.8,0.8,1.8,1,8,130.6,94.9
Rudy Gobert,Uta,C,26.97,5,30.4,14.3,23,0.783,32,0.594,0,0,11.2,10.2,1.4,7.7,0.6,2.6,1.8,7.1,129.3,97.9
Joe Ingles,Uta,F,31.7,5,30.1,12.7,0,0,8,0.5,29,0.276,6.4,4.8,5,25.9,2.2,0,1.6,7.1,98.6,97.2
Donovan Mitchell,Uta,G,22.77,5,38.6,32.5,33,0.727,69,0.362,43,0.256,21.4,5,3.2,15.5,1.6,0.2,4.2,7.2,83.1,101.8
Georges Niang,Uta,F,25.99,5,11,18.6,0,0,9,0.556,13,0.308,4.4,2.8,1,16.4,0.2,0.2,0.4,8.4,100.4,98
Royce O'Neale,Uta,F,26.03,5,27.4,17.6,4,0.75,22,0.591,23,0.348,10.6,4.6,1.6,10.3,0.4,0.4,2,6.2,97.3,98.8
Ricky Rubio,Uta,G,28.65,5,33.5,22.8,20,0.85,46,0.522,20,0.2,15.4,3.2,8.6,46.4,2.4,0.2,3,9,108.5,99.7
Jerome Robinson,Lac,G,22.31,5,9.2,15.3,5,1,8,0.25,6,0.5,3.6,1.2,1.4,21,0.4,0,0.2,7.9,128.5,107.2
Dante Cunningham,San,F,32.15,5,2.6,10.8,0,0,1,0,2,1,1.2,1.2,0,0,0,0,0,0,,
Donatas Motiejunas,San,F-C,28.73,5,3.7,27.2,2,0.5,9,0.667,1,0,2.6,1.4,0.4,21.7,0,0,0,12.3,,
Quincy Pondexter,San,F,31.26,5,2.4,7.7,0,0,1,0,1,0,0,0.2,0.4,20.1,0.2,0,0,0,,
Juancho Hernangomez,Den,F,23.71,5,2.9,12.3,0,0,1,0,2,0.5,0.6,0.6,0,0,0,0,0.2,0,,
Anfernee Simons,Por,G,20.02,5,2.4,33.3,5,0.8,5,0,2,0,0.8,0,0,0,0.2,0,0,0,,
Jacob Evans,Gol,G,21.99,7,2.5,17.3,0,0,3,0.333,2,0.5,0.7,0.1,0.1,7.7,0,0,0.29,3.1,,
